epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.859,1.88207,3.78328,1.50439,0.21866,0.33594,0.21614,0.12456,1.84533,4.19276,1.54838,0.000332,0.000332,0.000332
2,253.568,1.9885,3.2447,1.50103,0.2183,0.34066,0.22759,0.12532,1.88152,4.25572,1.57555,0.000658747,0.000658747,0.000658747
3,380.127,1.95194,3.30116,1.5257,0.18785,0.34224,0.13294,0.06514,1.9478,4.83831,1.65337,0.000978893,0.000978893,0.000978893
4,507.711,1.96628,3.147,1.54962,0.14268,0.35547,0.14755,0.06744,1.96062,4.65988,1.62745,0.0009703,0.0009703,0.0009703
5,633.734,1.9553,3.01305,1.54828,0.19117,0.35419,0.17111,0.08713,1.93018,3.84975,1.62935,0.0009604,0.0009604,0.0009604
6,759.175,1.96793,3.02517,1.56676,0.306,0.35102,0.25886,0.13645,1.93455,3.72282,1.65549,0.0009505,0.0009505,0.0009505
7,884.696,1.93737,2.92932,1.58634,0.34039,0.35252,0.25756,0.12606,1.91493,3.31679,1.63594,0.0009406,0.0009406,0.0009406
8,1010.48,1.96608,2.82566,1.54613,0.30795,0.38696,0.24763,0.1306,1.94383,3.1204,1.61551,0.0009307,0.0009307,0.0009307
9,1136.13,1.91875,2.71732,1.50993,0.19929,0.4607,0.18889,0.09236,1.91129,4.42712,1.60134,0.0009208,0.0009208,0.0009208
10,1260.79,1.87483,2.75653,1.52709,0.2914,0.39848,0.21944,0.11307,1.87391,3.93409,1.55549,0.0009109,0.0009109,0.0009109
11,1386,1.83694,2.63065,1.50586,0.20721,0.4092,0.19814,0.106,1.83343,3.56293,1.52038,0.000901,0.000901,0.000901
12,1510.13,1.91462,2.60765,1.48317,0.40689,0.30154,0.30252,0.15656,1.86874,2.89064,1.59311,0.0008911,0.0008911,0.0008911
13,1636.1,1.81012,2.57145,1.46061,0.35069,0.44265,0.26277,0.15106,1.84531,3.19486,1.56178,0.0008812,0.0008812,0.0008812
14,1762.88,1.76999,2.63619,1.44581,0.28475,0.38782,0.23412,0.12121,1.88308,4.10955,1.63863,0.0008713,0.0008713,0.0008713
15,1886.89,1.79847,2.495,1.46131,0.28773,0.459,0.28999,0.15376,1.8444,3.40184,1.60986,0.0008614,0.0008614,0.0008614
16,2011.57,1.8028,2.42949,1.49233,0.55749,0.41927,0.41397,0.24408,1.80331,2.76984,1.52194,0.0008515,0.0008515,0.0008515
17,2135.54,1.81384,2.42356,1.45122,0.25156,0.40251,0.22688,0.11966,1.84665,3.32419,1.52808,0.0008416,0.0008416,0.0008416
18,2261.49,1.81899,2.43894,1.47894,0.30106,0.45714,0.25757,0.15784,1.81355,2.97087,1.54987,0.0008317,0.0008317,0.0008317
19,2386.01,1.81164,2.41131,1.45563,0.29526,0.55139,0.29763,0.17124,1.83243,3.49636,1.5357,0.0008218,0.0008218,0.0008218
20,2510.47,1.76627,2.3994,1.48236,0.31888,0.48068,0.26,0.14033,1.79906,4.75869,1.53328,0.0008119,0.0008119,0.0008119
21,2635.14,1.78242,2.39178,1.43962,0.29866,0.47753,0.27328,0.14813,1.77008,3.91783,1.50659,0.000802,0.000802,0.000802
22,2761.27,1.77842,2.30679,1.44181,0.41664,0.36478,0.30248,0.16698,1.7514,3.97008,1.49057,0.0007921,0.0007921,0.0007921
23,2886.21,1.71563,2.23762,1.39321,0.36522,0.44906,0.30831,0.16171,1.76411,3.98501,1.47809,0.0007822,0.0007822,0.0007822
24,3011.41,1.74586,2.22632,1.3878,0.32197,0.45763,0.24103,0.13363,1.68784,3.44272,1.45212,0.0007723,0.0007723,0.0007723
25,3136.54,1.72547,2.28383,1.39463,0.21329,0.54088,0.22143,0.11985,1.71802,5.74231,1.47969,0.0007624,0.0007624,0.0007624
26,3262.55,1.67455,2.23508,1.40663,0.33205,0.50306,0.28516,0.16529,1.68195,3.98296,1.45529,0.0007525,0.0007525,0.0007525
27,3390.97,1.67936,2.21462,1.38277,0.28421,0.57027,0.30571,0.17091,1.70377,4.21413,1.46888,0.0007426,0.0007426,0.0007426
28,3521.49,1.72742,2.14182,1.40797,0.31483,0.5199,0.31388,0.16813,1.67819,4.25157,1.44984,0.0007327,0.0007327,0.0007327
29,3652.28,1.65798,2.18962,1.37315,0.26009,0.5487,0.29004,0.16622,1.69127,4.00678,1.4502,0.0007228,0.0007228,0.0007228
30,3783.23,1.64558,2.15324,1.37112,0.27969,0.52822,0.31768,0.18281,1.65852,3.728,1.42099,0.0007129,0.0007129,0.0007129
31,3914.93,1.68372,2.12006,1.37983,0.31984,0.52537,0.3147,0.18648,1.68619,2.85126,1.45272,0.000703,0.000703,0.000703
32,4047.19,1.66169,2.03642,1.37647,0.32152,0.51576,0.27212,0.14919,1.68156,3.79123,1.47439,0.0006931,0.0006931,0.0006931
33,4178.83,1.6516,2.25599,1.4022,0.45559,0.49566,0.37102,0.22493,1.65594,2.98545,1.4405,0.0006832,0.0006832,0.0006832
34,4310.06,1.64935,2.07105,1.36621,0.39687,0.52666,0.33979,0.19542,1.67319,3.03882,1.44044,0.0006733,0.0006733,0.0006733
35,4441.61,1.56886,2.07443,1.35217,0.32647,0.54627,0.27573,0.15887,1.63741,5.00472,1.43584,0.0006634,0.0006634,0.0006634
36,4572.37,1.65061,2.07936,1.38172,0.35089,0.51751,0.32232,0.18059,1.68345,3.61339,1.44169,0.0006535,0.0006535,0.0006535
